Gene	Module
ASGR1	geneM0
PIK3R5	geneM6
TP53	geneM5
CCDC40	geneM0
ARHGDIA	geneM7
TMC6	geneM2
SLC16A3	geneM5
CARD14	geneM2
TTYH2	geneM2
RAB40B	geneM2
EIF4A3	geneM5
CSNK1D	geneM7
ANAPC11	geneM15
TBCD	geneM0
FN3KRP	geneM2
NARF	geneM0
RPTOR	geneM0
FOXK2	geneM1
TRIM65	geneM4
CBX8	geneM0
SECTM1	geneM5
RNF157	geneM1
AZI1	geneM14
ZNF750	geneM0
WDR45B	geneM0
CBX4	geneM2
RNF165	geneM8
DYM	geneM0
MAPK4	geneM3
ELAC1	geneM4
MBD1	geneM13
SMAD4	geneM3
TNFRSF11A	geneM0
ZCCHC2	geneM10
FBXO15	geneM1
CBLN2	geneM1
PMAIP1	geneM0
LEPREL4	geneM3
NT5C3B	geneM0
FAM134C	geneM4
PIP4K2B	geneM12
ERBB2	geneM3
GRB7	geneM0
MIEN1	geneM0
PNMT	geneM0
ARL5C	geneM0
STAC2	geneM1
IGFBP4	geneM5
FKBP10	geneM3
TXNL4A	geneM0
CACNA1A	geneM1
hsa-mir-1199	geneM0
SAMD1	geneM3
BRD4	geneM7
SLC39A3	geneM0
NFIC	geneM1
TPGS1	geneM0
PPAP2C	geneM2
PRDM15	geneM0
PFKL	geneM14
FEM1A	geneM0
VAV1	geneM6
MVB12A	geneM3
SH3GL1	geneM21
DUS3L	geneM0
DPP9	geneM10
CCDC97	geneM0
TMEM91	geneM0
ZFP14	geneM22
SIRT3	geneM13
IFITM3	geneM5
ATHL1	geneM0
HUNK	geneM0
COL6A1	geneM0
IFNAR1	geneM0
SOD1	geneM0
COL6A2	geneM27
SIK1	geneM5
TRPM2	geneM1
SCYL1	geneM0
TMEM50B	geneM0
APP	geneM1
DOPEY2	geneM1
URB1	geneM0
AKT1	geneM14
EMP3	geneM5
SAE1	geneM9
NTN5	geneM0
LMTK3	geneM7
GEMIN7	geneM0
WTIP	geneM31
ADAMTS10	geneM0
RNPEPL1	geneM0
CAPN10	geneM12
MYO1F	geneM6
ERVK3-1	geneM0
CACNG8	geneM0
ZNF787	geneM0
C19orf52	geneM0
FBN3	geneM23
CARM1	geneM1
EVI5L	geneM0
SLC47A1	geneM0
PSMB6	geneM0
SIGLEC10	geneM6
ZNF473	geneM10
FAM71E1	geneM0
RPS11	geneM15
RPL13A	geneM15
CTU1	geneM0
NOSIP	geneM2
IGLON5	geneM1
RCN3	geneM0
ZNF614	geneM2
SLC2A5	geneM6
RERE	geneM17
MMEL1	geneM0
C1orf222	geneM1
PRDM16	geneM3
CELA2A	geneM0
FHAD1	geneM1
EPHA2	geneM5
ARHGEF19	geneM0
EFHD2	geneM0
PEX14	geneM0
PGD	geneM0
SH3BGRL3	geneM2
CNKSR1	geneM0
RPL11	geneM15
ZNF593	geneM0
C1orf216	geneM9
KIAA0319L	geneM9
EVA1B	geneM0
C1orf94	geneM4
DMRTA2	geneM2
PLK4	geneM4
MAP3K6	geneM5
FCN3	geneM0
GPN2	geneM13
SYTL1	geneM0
WDTC1	geneM1
NBPF3	geneM0
HSPG2	geneM5
ITGB3BP	geneM0
SERBP1	geneM0
BCL10	geneM3
CYR61	geneM5
PRKACB	geneM1
PIGK	geneM1
TINAGL1	geneM0
ADC	geneM2
RPS8	geneM15
KIF2C	geneM0
PTPRF	geneM0
BEST4	geneM0
MOB3C	geneM5
CYP4B1	geneM0
TMEM61	geneM0
LMO4	geneM1
SYPL2	geneM3
MTF2	geneM28
SLC44A3	geneM3
IGSF3	geneM31
ZNF697	geneM1
CTTNBP2NL	geneM6
STRIP1	geneM9
PSMA5	geneM4
C1orf162	geneM6
CD53	geneM6
PROK1	geneM0
CELSR2	geneM1
ITGA10	geneM0
GJA5	geneM27
GPR161	geneM0
ALDH9A1	geneM3
ATP1B1	geneM1
TIPRL	geneM0
NME7	geneM0
POGK	geneM2
MPC2	geneM1
CREG1	geneM6
DCAF6	geneM1
RXRG	geneM3
TBX19	geneM0
UCK2	geneM0
TMCO1	geneM3
POU2F1	geneM3
MAEL	geneM4
ILDR2	geneM0
DPT	geneM0
MGST3	geneM33
ADCY10	geneM0
RFWD2	geneM0
UFC1	geneM0
PPOX	geneM4
FCGR2A	geneM6
NUF2	geneM0
RGS5	geneM26
SDHC	geneM7
PFDN2	geneM0
NR1I3	geneM0
USP21	geneM10
PRCC	geneM7
RRNAD1	geneM2
MRPL24	geneM2
PIGM	geneM2
CASQ1	geneM1
ISG20L2	geneM0
CRABP2	geneM0
HDGF	geneM0
ABL2	geneM29
XPR1	geneM0
RGS16	geneM5
TOR1AIP1	geneM3
FAM163A	geneM31
HMCN1	geneM26
RGL1	geneM5
LYPLAL1	geneM3
PRUNE	geneM7
TUFT1	geneM13
SF3B4	geneM7
ECM1	geneM1
ZNF687	geneM4
TARS2	geneM0
CGN	geneM2
SNX27	geneM1
SETDB1	geneM4
ADAMTSL4	geneM5
MCL1	geneM5
CTSK	geneM0
RFX5	geneM8
PI4KB	geneM2
PIP5K1A	geneM0
ANP32E	geneM4
FAM63A	geneM2
ANXA9	geneM2
SELENBP1	geneM3
CERS2	geneM2
ENSA	geneM0
AC027612.6	geneM0
SEMA6C	geneM0
MRPL9	geneM0
ARNT	geneM0
POGZ	geneM7
C1orf56	geneM0
OAZ3	geneM0
HORMAD1	geneM0
GOLPH3L	geneM10
GABPB2	geneM0
IKBKE	geneM6
SYT14	geneM0
KCNH1	geneM1
DTL	geneM0
DYRK3	geneM10
EIF2D	geneM4
INTS7	geneM10
VASH2	geneM0
TAF1A	geneM0
SMYD2	geneM1
SUSD4	geneM1
DUSP10	geneM2
TP53BP2	geneM3
ATP8B2	geneM0
ADAM15	geneM2
JTB	geneM0
RAB13	geneM5
S100A8	geneM5
TPM3	geneM1
SNAPIN	geneM0
SLC27A3	geneM0
S100A7	geneM1
UBAP2L	geneM7
SLC39A1	geneM5
HAX1	geneM0
CREB3L4	geneM4
EFNA3	geneM0
KCNN3	geneM3
C1orf43	geneM1
GATAD2B	geneM7
ILF2	geneM29
RIT1	geneM5
INTS3	geneM25
PKLR	geneM1
HCN3	geneM0
FLG	geneM0
ACTA1	geneM0
C1orf131	geneM0
GALNT2	geneM3
TTC13	geneM4
SCCPDH	geneM2
LYST	geneM0
MLK4	geneM8
CEP170	geneM18
ACP1	geneM1
SNAP47	geneM8
SRP9	geneM34
NVL	geneM0
SDE2	geneM3
DEGS1	geneM2
FBXO28	geneM0
ARF1	geneM7
CNIH4	geneM1
ITPKB	geneM3
GUK1	geneM12
CDC42BPA	geneM2
CNIH3	geneM0
C1orf35	geneM14
MBOAT2	geneM2
PARP1	geneM2
PSEN2	geneM9
PYCR2	geneM2
LBR	geneM5
WNT9A	geneM0
EPHX1	geneM3
SOX13	geneM3
ETNK2	geneM3
PPFIA4	geneM1
PLEKHA6	geneM13
PTPN7	geneM6
SYT2	geneM1
ARL8A	geneM2
OSR1	geneM27
GDF7	geneM0
PDIA6	geneM10
RHOB	geneM5
ATP6V1C2	geneM0
HNRNPLL	geneM17
GALM	geneM3
CAMKMT	geneM3
ABCG8	geneM1
EML4	geneM18
CALM2	geneM2
CHAC2	geneM0
RPS27A	geneM15
WDPCP	geneM4
VPS54	geneM0
ASXL2	geneM3
ETAA1	geneM0
SNRPG	geneM15
ABHD1	geneM3
MEIS1	geneM2
CIAO1	geneM9
ZNF514	geneM0
SNRNP200	geneM19
MRPS5	geneM24
ANKRD53	geneM0
TPRKB	geneM0
NAT8	geneM0
EXOC6B	geneM2
SFXN5	geneM3
TEX261	geneM0
DQX1	geneM1
DUSP11	geneM0
ST6GAL2	geneM0
NPHP1	geneM8
MALL	geneM0
THNSL2	geneM2
RALB	geneM1
C1QL2	geneM0
TMEM177	geneM4
RABL2A	geneM7
SLC20A1	geneM0
FBLN7	geneM1
ZC3H8	geneM0
LIPT1	geneM0
CNGA3	geneM0
FAHD2B	geneM4
LYG1	geneM0
AFF3	geneM1
UBXN4	geneM0
NXPH2	geneM23
SPOPL	geneM2
THSD7B	geneM23
GPR17	geneM3
POLR2D	geneM0
AMMECR1L	geneM0
GALNT13	geneM2
PKP4	geneM2
SCN1A	geneM1
SLC4A10	geneM1
SCRN3	geneM2
KIAA1715	geneM1
ZNF385B	geneM1
TMEFF2	geneM1
CDCA7	geneM23
DLX1	geneM23
UBR3	geneM1
PHOSPHO2	geneM0
GULP1	geneM0
FAM171B	geneM3
HSPD1	geneM10
CCDC150	geneM2
METTL21A	geneM0
UNC80	geneM1
PTH2R	geneM1
CPO	geneM0
NBEAL1	geneM30
KANSL1L	geneM10
SPAG16	geneM4
SUMF1	geneM4
NYAP2	geneM0
RHBDD1	geneM3
ACKR3	geneM3
TRPM8	geneM0
HES6	geneM3
ANKMY1	geneM4
COPS7B	geneM7
DIS3L2	geneM2
CPNE9	geneM1
FANCD2	geneM4
TAMM41	geneM0
VGLL4	geneM0
RAB5A	geneM7
FAM134A	geneM9
CTDSP1	geneM3
RQCD1	geneM2
MARCH4	geneM0
STK11IP	geneM24
GMPPA	geneM0
GRIP2	geneM23
EAF1	geneM20
CNTN4	geneM1
DYNC1LI1	geneM8
RBMS3	geneM3
OSBPL10	geneM1
POMGNT2	geneM0
ACKR2	geneM0
FAM198A	geneM3
CSRNP1	geneM5
SLC25A38	geneM13
ITGA9	geneM1
SLC22A14	geneM0
GOLGA4	geneM11
CTDSPL	geneM3
STAC	geneM0
IQSEC1	geneM1
CAND2	geneM4
RPL32	geneM15
PTPRG	geneM3
IL17RD	geneM3
SHQ1	geneM0
SLC25A26	geneM0
UBA3	geneM2
ARL6IP5	geneM7
TMF1	geneM34
LRIG1	geneM3
LRTM1	geneM0
RP11-977G19.10	geneM0
LIMD1	geneM6
ZNF660	geneM4
NFKBIZ	geneM5
COL8A1	geneM27
NXPE3	geneM2
MYH15	geneM4
PHLDB2	geneM21
ABHD10	geneM0
TAGLN3	geneM1
PLA1A	geneM5
RABL3	geneM3
ADPRH	geneM6
IGSF11	geneM3
ATG3	geneM2
NR1I2	geneM0
BOC	geneM3
SRPRB	geneM0
TMEM108	geneM0
MED12L	geneM13
EIF2A	geneM0
ALDH1L1	geneM3
OSBPL11	geneM3
TRPC1	geneM8
NCEH1	geneM1
FAM86B2	geneM0
LPP	geneM3
TMEM44	geneM13
KIAA0226	geneM7
AMT	geneM3
TCTA	geneM4
NICN1	geneM1
VPRBP	geneM19
MANF	geneM10
AC062028.1	geneM1
CCDC39	geneM1
STXBP5L	geneM1
EAF2	geneM3
MUC4	geneM0
SLIT2	geneM1
EIF2B5	geneM25
AHSG	geneM0
ECE2	geneM0
VWA5B2	geneM8
DGKQ	geneM12
FIP1L1	geneM11
SLC26A1	geneM0
LYAR	geneM11
CENPC	geneM0
EPHA5	geneM16
CORIN	geneM0
ATP10D	geneM3
OCIAD2	geneM0
SLC10A4	geneM23
SLC10A6	geneM0
SCD5	geneM3
PLAC8	geneM6
ENOPH1	geneM2
TRMT10A	geneM0
KLHL8	geneM0
SNCA	geneM1
PYURF	geneM0
TBCK	geneM24
CAMK2D	geneM16
CISD2	geneM1
DDIT4L	geneM3
ANK2	geneM1
TIFA	geneM5
SPATA5	geneM0
CCNA2	geneM10
METTL14	geneM0
USP53	geneM3
SETD7	geneM0
NAF1	geneM7
MARCH1	geneM2
SFRP2	geneM0
RPS3A	geneM15
RNF175	geneM1
PDGFC	geneM3
CBR4	geneM1
GLRA3	geneM31
CYP4V2	geneM3
ROPN1L	geneM1
NDUFS6	geneM0
MARCH6	geneM7
NKD2	geneM0
CDH18	geneM1
ADAMTS16	geneM0
SRD5A1	geneM16
MYO10	geneM3
FAM105A	geneM6
RPL37	geneM15
SKP2	geneM0
OSMR	geneM5
PLK2	geneM1
GZMA	geneM2
PIK3R1	geneM1
HAPLN1	geneM23
LHFPL2	geneM6
SSBP2	geneM16
BHMT	geneM0
ANKRD31	geneM4
IQGAP2	geneM0
CRHBP	geneM0
RASA1	geneM1
LIX1	geneM3
GIN1	geneM0
PPIP5K2	geneM8
PAM	geneM9
BDP1	geneM11
GTF2H2	geneM0
SLC30A5	geneM0
BTF3	geneM7
FBXL17	geneM1
SPATA9	geneM0
TNFAIP8	geneM6
FEM1C	geneM5
COMMD10	geneM0
ATG12	geneM0
MEGF10	geneM3
ADAMTS19	geneM8
YIPF5	geneM1
ARHGAP26	geneM1
CXCL14	geneM3
SLC25A48	geneM3
DDX46	geneM11
RNF145	geneM1
C1QTNF2	geneM23
GABRA6	geneM0
GABRB2	geneM1
FBXO38	geneM0
SPINK7	geneM0
PCYOX1L	geneM4
GLRA1	geneM1
TNIP1	geneM0
G3BP1	geneM5
ZNF300	geneM18
N4BP3	geneM12
NHP2	geneM0
RMND5B	geneM4
BOD1	geneM0
CPLX2	geneM1
TENM2	geneM1
KCNMB1	geneM0
FAM50B	geneM0
MYLK4	geneM0
C6ORF50	geneM1
TBC1D7	geneM0
FARS2	geneM0
GFOD1	geneM1
CDKAL1	geneM3
PCDHB18	geneM0
PSD2	geneM3
LRRTM2	geneM0
ZMAT2	geneM0
KLHL3	geneM0
DCDC2	geneM0
TRIM7	geneM0
TRIM41	geneM2
HIGD2A	geneM0
FAM193B	geneM0
PLA2G7	geneM1
TNFRSF21	geneM2
RNF44	geneM17
MUT	geneM3
RASGEF1C	geneM2
DOK3	geneM6
ABT1	geneM0
PPP1R18	geneM6
DAAM2	geneM2
PRIM2	geneM0
MLIP	geneM0
HMGCLL1	geneM16
FGD2	geneM6
SCUBE3	geneM0
ANO7	geneM1
CRIP3	geneM22
TTBK1	geneM0
TCTE1	geneM0
RPL7L1	geneM8
NFKBIE	geneM21
CYP39A1	geneM10
TPBG	geneM1
IRAK1BP1	geneM0
PHIP	geneM2
PRSS35	geneM3
MMS22L	geneM2
FAXC	geneM1
PNRC1	geneM0
PM20D2	geneM13
RARS2	geneM18
SCML4	geneM0
TBC1D32	geneM8
CLVS2	geneM1
GPR6	geneM0
RNF217	geneM34
RSPO3	geneM0
ARHGAP18	geneM0
ABRACL	geneM22
SLC18B1	geneM3
MTFR2	geneM4
SLC2A12	geneM3
SHPRH	geneM14
AIG1	geneM2
DYNLT1	geneM5
TIAM2	geneM1
TMEM181	geneM2
PNLDC1	geneM1
WTAP	geneM5
ZMYM4	geneM30
VIP	geneM23
C6orf211	geneM24
SLC22A3	geneM27
VWDE	geneM0
GNA12	geneM3
C7orf50	geneM0
SDK1	geneM23
WASH2P	geneM0
CCZ1B	geneM0
C7orf26	geneM2
RBAK	geneM3
CREB5	geneM2
EGFR	geneM3
CDCA5	geneM1
IGFBP3	geneM0
PURB	geneM20
AC004453.8	geneM0
IGFBP1	geneM0
SRCRB4D	geneM0
MDH2	geneM7
POMZP3	geneM2
AC006014.8	geneM0
GBAS	geneM3
CCT6A	geneM10
PSPH	geneM0
ZNF92	geneM0
ATXN7L1	geneM7
TMEM168	geneM3
C7orf43	geneM1
SLC12A9	geneM2
GIGYF1	geneM14
TRIM4	geneM3
MEPCE	geneM0
TMEM209	geneM4
AGBL3	geneM0
ZC3HAV1L	geneM0
TMEM140	geneM2
TLK2	geneM11
EPHA1	geneM0
NOM1	geneM0
CNPY1	geneM4
NCAPG2	geneM4
NLGN4X	geneM0
SHROOM2	geneM1
C7orf55-LUC7L2	geneM8
DENND2A	geneM3
TMEM27	geneM4
SH3KBP1	geneM1
TMEM47	geneM3
LANCL3	geneM13
SYTL5	geneM23
CASK	geneM18
KDM6A	geneM2
SPIN2A	geneM0
MSN	geneM5
CCNB3	geneM4
HDAC8	geneM25
SLC16A2	geneM3
CXorf36	geneM2
ZNF157	geneM0
ZNF182	geneM0
CHST7	geneM3
KRBOX4	geneM13
NDUFB11	geneM33
ZNF41	geneM0
RAB41	geneM0
ZMYM3	geneM7
TAF1	geneM11
NONO	geneM19
CCDC120	geneM17
LPAR4	geneM3
EBP	geneM0
OGT	geneM25
SNX12	geneM9
ITGB1BP2	geneM0
IL2RG	geneM0
ACRC	geneM10
ZNF711	geneM8
DIAPH2	geneM31
PRPS1	geneM9
CXorf57	geneM0
FRMPD3	geneM0
HTR2C	geneM16
DOCK11	geneM6
IGSF1	geneM3
ARHGAP36	geneM3
GPC3	geneM0
RBMX	geneM0
MCPH1	geneM0
MFHAS1	geneM5
FBXO25	geneM1
FATE1	geneM0
FAM58A	geneM0
NSDHL	geneM2
ZNF185	geneM2
CETN2	geneM0
GABRQ	geneM0
RPL10	geneM15
CSGALNACT1	geneM3
ATP6V1B2	geneM1
CCDC25	geneM1
HMBOX1	geneM3
CHRNB3	geneM2
CHRNA6	geneM23
GNRH1	geneM0
BIN3	geneM0
DOK2	geneM0
SLC25A37	geneM0
CHMP7	geneM9
DOCK5	geneM2
STAR	geneM1
PROSC	geneM0
ERLIN2	geneM3
SNTG1	geneM8
PXDNL	geneM0
ST18	geneM2
RGS20	geneM3
TACC1	geneM0
GOLGA7	geneM2
PPAPDC1B	geneM13
GINS4	geneM2
WHSC1L1	geneM0
CRH	geneM1
ADHFE1	geneM3
MRPS28	geneM0
PMP2	geneM3
LACTB2	geneM0
TERF1	geneM7
RPL7	geneM15
SLC26A7	geneM3
SYBU	geneM13
DPYS	geneM1
MTDH	geneM2
LRP12	geneM1
EBAG9	geneM0
RSPO2	geneM1
POLR2K	geneM0
MAL2	geneM1
EIF3H	geneM7
UTP23	geneM4
NDUFB9	geneM33
TATDN1	geneM0
GSDMC	geneM0
FAM135B	geneM1
ZNF7	geneM4
ARHGAP39	geneM0
SLC39A4	geneM0
NAPRT1	geneM0
VLDLR	geneM2
AK3	geneM3
UHRF2	geneM20
NFIB	geneM3
PLIN2	geneM5
HAUS6	geneM4
CDKN2B	geneM0
CDKN2A	geneM0
C9orf72	geneM1
IFNK	geneM2
ZCCHC7	geneM0
FBXO10	geneM0
SIGMAR1	geneM0
CBWD5	geneM0
CEP78	geneM0
NTRK2	geneM3
IDNK	geneM4
SHC3	geneM0
AUH	geneM1
HIATL1	geneM3
C9orf3	geneM2
LPPR1	geneM18
ZNF462	geneM2
INIP	geneM2
UGCG	geneM20
SNX30	geneM2
STOM	geneM3
GSN	geneM2
MRRF	geneM0
NR6A1	geneM0
CRB2	geneM3
ALAD	geneM2
ASTN2	geneM2
WDR31	geneM4
POLE3	geneM0
SURF4	geneM5
GBGT1	geneM0
SURF1	geneM4
SURF2	geneM0
SURF6	geneM11
MED22	geneM4
REXO4	geneM10
RPL7A	geneM15
GTF3C5	geneM2
ASB6	geneM0
PTGES2	geneM12
NTMT1	geneM0
CIZ1	geneM7
SLC25A25	geneM21
SH3GLB2	geneM2
FAM73B	geneM12
PTGES	geneM0
LCN2	geneM0
LRSAM1	geneM0
HMCN2	geneM0
GPR107	geneM4
C9orf142	geneM0
INPP5E	geneM12
SEC16A	geneM1
DPH7	geneM8
NOTCH1	geneM3
CACNA1B	geneM1
NACC2	geneM3
PROSER2	geneM0
USP6NL	geneM18
COMMD3	geneM0
MSRB2	geneM0
PDSS1	geneM0
FAM171A1	geneM2
FAM188A	geneM0
SLC39A12	geneM3
RSU1	geneM3
ST8SIA6	geneM26
PARD3	geneM3
ZEB1	geneM0
FAM13C	geneM2
NRBF2	geneM1
CDHR1	geneM0
RGR	geneM3
POLR3A	geneM7
HERC4	geneM10
C10orf11	geneM4
CAMK2G	geneM1
ADIRF	geneM0
GLUD1	geneM3
HTR7	geneM0
RPP30	geneM0
FRA10AC1	geneM1
ADD3	geneM3
HABP2	geneM1
VAX1	geneM2
DNAJB12	geneM0
EIF4EBP2	geneM3
NPFFR1	geneM3
TCF7L2	geneM3
CYP17A1	geneM4
INA	geneM1
FUOM	geneM4
LRRC27	geneM1
MTG1	geneM0
NKX6-2	geneM2
PAOX	geneM2
GSTO1	geneM2
TAF5	geneM0
PPRC1	geneM7
ITPRIP	geneM5
CNNM2	geneM1
PDCD11	geneM19
ADAM12	geneM0
RGS10	geneM6
BTBD10	geneM1
ADM	geneM5
GAS2	geneM0
LIN7C	geneM34
LRRC4C	geneM1
IMMP1L	geneM0
PGAP2	geneM2
TUT1	geneM3
ZNF214	geneM0
ZNF215	geneM0
HSD17B12	geneM3
APIP	geneM2
PAMR1	geneM3
DGKZ	geneM12
EIF3M	geneM0
TNKS1BP1	geneM5
SERPING1	geneM5
SSRP1	geneM19
SLC43A1	geneM0
PTPRJ	geneM6
C11orf49	geneM7
ARFGAP2	geneM19
CELF1	geneM28
C11orf73	geneM0
CCDC81	geneM0
SESN3	geneM3
ENDOD1	geneM2
CCDC82	geneM4
KLHL35	geneM0
TENM4	geneM1
SERPINH1	geneM10
CAPN5	geneM0
INTS4	geneM0
PAK1	geneM1
RPS3	geneM15
ZC3H12C	geneM3
TTC12	geneM4
NCAM1	geneM29
DRD2	geneM0
C11orf52	geneM0
HTR3B	geneM1
NPAT	geneM4
ATM	geneM2
AASDHPPT	geneM16
GLB1L2	geneM0
SLX4IP	geneM0
LAMTOR1	geneM15
P4HA3	geneM0
GRIK4	geneM0
ST14	geneM0
HYOU1	geneM9
ADAM33	geneM8
SLC22A8	geneM0
CSRP2BP	geneM9
DAK	geneM4
MTA2	geneM5
TMEM138	geneM0
FADS1	geneM3
TMC2	geneM0
ROM1	geneM5
EML3	geneM3
INCENP	geneM0
ZP1	geneM0
PLCH2	geneM12
FRG1B	geneM0
CPSF7	geneM7
B3GAT3	geneM0
EI24	geneM0
CCDC15	geneM4
CHEK1	geneM0
FEZ1	geneM2
ESAM	geneM5
KIRREL3	geneM0
MPZL2	geneM5
SCN2B	geneM1
SIDT2	geneM29
TMEM25	geneM1
TAGLN	geneM27
JPH2	geneM0
DUSP15	geneM0
COMMD7	geneM0
C20orf144	geneM0
KIAA1755	geneM2
SPATA25	geneM4
DSN1	geneM8
SOGA1	geneM18
CDH22	geneM1
LINC00266-1	geneM0
LSM14B	geneM9
YTHDF1	geneM5
CABLES2	geneM7
ORAOV1	geneM0
SLC22A9	geneM1
TRPT1	geneM4
NUDT22	geneM0
FERMT3	geneM6
PLCB3	geneM3
MRPL49	geneM13
CDC42EP2	geneM2
FAU	geneM15
TM7SF2	geneM2
VPS51	geneM14
TBX6	geneM0
PPP4C	geneM0
ALDOA	geneM7
FAM57B	geneM17
DOC2A	geneM1
HIRIP3	geneM0
TAOK2	geneM14
TMEM219	geneM4
CNKSR2	geneM1
CNTN5	geneM8
KLRF1	geneM0
CLEC1A	geneM5
MKX	geneM1
MPP7	geneM1
C10orf68	geneM0
ITGB1	geneM5
FRMPD2P2	geneM0
FXYD4	geneM2
PCDH15	geneM3
CTF1	geneM3
CWC15	geneM0
FCGR1A	geneM6
ARID5B	geneM5
KLHL1	geneM18
CDH8	geneM1
DCUN1D2	geneM0
TMCO3	geneM2
TMEM218	geneM3
TIRAP	geneM0
N6AMT2	geneM0
LATS2	geneM5
SAP18	geneM0
LPHN3	geneM3
KIAA1328	geneM2
FAM124A	geneM2
CTAGE5	geneM0
HNMT	geneM0
LYPD1	geneM3
LYPD6B	geneM23
PDCD4	geneM11
ADRA2A	geneM2
GPM6A	geneM3
WDR17	geneM8
SPATA4	geneM0
VEGFC	geneM0
CCDC102B	geneM0
CD226	geneM6
CNDP1	geneM2
FSIP1	geneM0
DLG2	geneM0
RGS18	geneM6
PRSS23	geneM0
MTMR12	geneM1
PPP1R1C	geneM0
CCT5	geneM10
FAM173B	geneM10
DOCK1	geneM2
DIXDC1	geneM2
DLAT	geneM1
PIH1D2	geneM0
C11orf57	geneM0
TIMM8B	geneM15
IL18	geneM6
TEX12	geneM4
PTS	geneM8
PIP4K2A	geneM2
C2orf50	geneM1
FREM2	geneM3
FOXO1	geneM3
CRIM1	geneM0
SEC24D	geneM0
ABCB9	geneM8
RILPL2	geneM0
DHX37	geneM0
UBC	geneM0
ITPR1	geneM1
PRSS53	geneM8
SLC7A11	geneM3
CCRN4L	geneM0
ENKUR	geneM3
GPR158	geneM1
CACNA2D4	geneM6
DCP1B	geneM0
CACNA1C	geneM1
KCNA6	geneM2
THRB	geneM1
NGLY1	geneM1
OXSM	geneM0
UEVLD	geneM4
TMEM86A	geneM4
C12orf45	geneM0
C12orf23	geneM0
BTBD11	geneM23
UBE3B	geneM1
ANK3	geneM2
IPMK	geneM3
RAD9B	geneM0
PLBD2	geneM4
DLG5	geneM18
SLC2A13	geneM1
GXYLT1	geneM3
TWF1	geneM3
DIP2C	geneM2
EIF4E	geneM1
MAGI1	geneM1
TEX30	geneM0
CSNK1G3	geneM17
AGAP11	geneM0
SRFBP1	geneM0
AKAP6	geneM1
NPAS3	geneM3
FAM177A1	geneM18
MBIP	geneM7
MIPOL1	geneM30
EXT2	geneM0
TMEM18	geneM4
ALLC	geneM0
KCTD14	geneM10
NDUFC2	geneM0
ME3	geneM8
ADAMTS12	geneM0
NUBPL	geneM4
NEK7	geneM2
FER	geneM3
VIPAS39	geneM0
ANKRD50	geneM18
UPF2	geneM11
CDC123	geneM9
SCLT1	geneM0
CCDC3	geneM13
C4orf33	geneM0
FRMD4A	geneM3
PTPRO	geneM8
EPS8	geneM3
ACAD8	geneM9
THYN1	geneM9
VPS26B	geneM1
NCAPD3	geneM0
VTI1A	geneM0
QDPR	geneM2
FAM160B1	geneM17
ANO4	geneM2
TEX9	geneM4
QTRTD1	geneM20
MMAA	geneM7
ZNF827	geneM0
EDNRA	geneM0
NR3C2	geneM13
AKR1C2	geneM0
DPYSL4	geneM28
ADAM8	geneM0
ITIH2	geneM27
KIN	geneM0
PIGF	geneM0
ANKAR	geneM0
INPP1	geneM2
MFSD6	geneM2
RNF144A	geneM2
ASAP2	geneM3
ADAM17	geneM3
FLI1	geneM6
KCNJ1	geneM0
TMEM45B	geneM0
WWC2	geneM0
MLF1IP	geneM0
ACSL1	geneM2
SLC25A4	geneM1
AMN1	geneM8
BICD1	geneM2
SAV1	geneM2
CCDC122	geneM4
SERP2	geneM1
NBAS	geneM25
ZNF385D	geneM23
TDO2	geneM1
GUF1	geneM7
SLC35F4	geneM23
GABRA2	geneM3
SACS	geneM1
CCDC175	geneM0
PABPC3	geneM3
CENPJ	geneM0
FBXO4	geneM4
C5orf28	geneM17
CCL28	geneM4
PARP8	geneM0
GFRA1	geneM3
CACUL1	geneM0
DST	geneM2
BEND6	geneM1
TIAL1	geneM7
BAG3	geneM5
GLT1D1	geneM1
TMEM132D	geneM1
SCHIP1	geneM2
LIX1L	geneM3
MCHR2	geneM1
NBPF11	geneM0
KCNE4	geneM5
AP1S3	geneM0
RABGAP1L	geneM8
CCDC74B	geneM0
TMEM56	geneM0
MZT2B	geneM0
ASTN1	geneM3
FAM168B	geneM9
PTPN14	geneM0
AC093838.4	geneM0
MGAT5	geneM19
TMEM163	geneM0
GPATCH11	geneM11
HSPB8	geneM0
GEMIN6	geneM25
TMEM178A	geneM1
RNF219	geneM0
CYSLTR2	geneM0
GRID2	geneM0
RIT2	geneM1
SETBP1	geneM0
ARL14EP	geneM13
EPG5	geneM1
PSTPIP2	geneM5
ATP5A1	geneM9
HAUS1	geneM0
C18orf25	geneM10
SPC25	geneM0
PDK1	geneM5
SPON1	geneM3
PDE3B	geneM3
TCF7L1	geneM3
TGOLN2	geneM2
SH2D6	geneM2
KCNK13	geneM6
UHMK1	geneM1
ATG10	geneM2
POC5	geneM4
SPOCK1	geneM7
FAM151B	geneM0
TADA1	geneM16
GUCY1A2	geneM1
CWF19L2	geneM11
JMY	geneM0
HOMER1	geneM21
XRCC4	geneM0
ZNF547	geneM10
ZNF773	geneM0
ZNF776	geneM28
ZNF256	geneM0
SUV39H2	geneM30
DCLRE1C	geneM3
OLAH	geneM0
RPP38	geneM7
NMT2	geneM0
ZSCAN1	geneM4
ZNF837	geneM0
USP12	geneM0
ARL5B-AS1	geneM0
CCDC50	geneM3
CAMK4	geneM1
