"","Set","query.number","significant","p.value","term.size","query.size","overlap.size","precision","recall","term.id","domain","subgraph.number","term.name","relative.depth","intersection"
"188","C4A-negative",1,TRUE,0.000412,547,931,62,0.067,0.113,"GO:0008324","MF",2,"cation transmembrane transporter activity",3,"SLC6A7,SLC45A4,ATP6V0A1,CACNB1,ATP2B1,TRPC5,TMEM38A,SLC25A3,SLC7A8,P2RX6,CACNA1F,SCN1B,SLC1A1,SLC22A18,KCNA1,COX7A2,CLDN16,ATP6V1A,KCNIP3,COX7A2L,SLC36A1,GRIA3,ATP6V1E1,COX7B,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,SHROOM2,ATP6V1B2,HTR3B,ITPR1,GRIA4,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,COX5A,CACNB4,KCNB2,KCNQ5,CALHM1,NDUFA4,SCN8A,SLC39A10,RYR2,FAM155A"
"189","C4A-negative",1,TRUE,6.39e-05,500,931,61,0.066,0.122,"GO:0022890","MF",2,"inorganic cation transmembrane transporter activity",4,"SLC6A7,SLC45A4,ATP6V0A1,CACNB1,ATP2B1,TRPC5,TMEM38A,SLC25A3,P2RX6,CACNA1F,SCN1B,SLC1A1,SLC22A18,KCNA1,COX7A2,CLDN16,ATP6V1A,KCNIP3,COX7A2L,SLC36A1,GRIA3,ATP6V1E1,COX7B,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,SHROOM2,ATP6V1B2,HTR3B,ITPR1,GRIA4,ATP6V1C1,KCNMA1,SLC2A6,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,COX5A,CACNB4,KCNB2,KCNQ5,CALHM1,NDUFA4,SCN8A,SLC39A10,RYR2,FAM155A"
"190","C4A-negative",1,TRUE,0.000111,310,931,43,0.046,0.139,"GO:0015077","MF",2,"monovalent inorganic cation transmembrane transporter activity",5,"SLC6A7,SLC45A4,ATP6V0A1,TMEM38A,SLC25A3,SCN1B,SLC1A1,SLC22A18,KCNA1,COX7A2,ATP6V1A,KCNIP3,COX7A2L,SLC36A1,ATP6V1E1,COX7B,KCNK1,SCN2A,MTMR6,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,SHROOM2,ATP6V1B2,ATP6V1C1,KCNMA1,SLC2A6,SLC9B2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,COX5A,KCNB2,KCNQ5,NDUFA4,SCN8A"
"191","C4A-negative",1,TRUE,0.0155,96,931,16,0.017,0.167,"GO:0015078","MF",2,"proton transmembrane transporter activity",6,"SLC45A4,ATP6V0A1,SLC25A3,SLC22A18,COX7A2,ATP6V1A,COX7A2L,SLC36A1,ATP6V1E1,COX7B,ATP6V1B2,ATP6V1C1,SLC2A6,SLC9B2,COX5A,NDUFA4"
"192","C4A-negative",1,TRUE,0.02,391,931,42,0.045,0.107,"GO:0046873","MF",2,"metal ion transmembrane transporter activity",5,"SLC6A7,CACNB1,ATP2B1,TRPC5,TMEM38A,CACNA1F,SCN1B,SLC1A1,KCNA1,CLDN16,KCNIP3,KCNK1,SCN2A,TRPC3,MTMR6,NIPA2,ATP1B1,KCNH1,SLC20A1,SLC4A10,SLC10A4,SHROOM2,ITPR1,KCNMA1,ORAI2,SLC9B2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,CACNB4,KCNB2,KCNQ5,CALHM1,SCN8A,SLC39A10,RYR2,FAM155A"
"193","C4A-negative",1,TRUE,0.00268,280,931,36,0.039,0.129,"GO:0022839","MF",2,"ion gated channel activity",3,"GABRA1,CACNB1,TMEM38A,P2RX6,CACNA1F,SCN1B,GLRB,KCNA1,GABRG2,KCNIP3,GRIA3,KCNK1,SCN2A,MTMR6,KCNH1,SHROOM2,HTR3B,ITPR1,GRIA4,KCNMA1,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,GABRG3,CACNB4,KCNB2,KCNQ5,CALHM1,SCN8A,RYR2,FAM155A"
"194","C4A-negative",1,TRUE,0.038,170,931,22,0.024,0.129,"GO:0005244","MF",2,"voltage-gated ion channel activity",4,"CACNB1,CACNA1F,SCN1B,KCNA1,KCNIP3,KCNK1,SCN2A,KCNH1,KCNMA1,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,CACNB4,KCNB2,KCNQ5,CALHM1,SCN8A"
"195","C4A-negative",1,TRUE,0.0135,357,931,40,0.043,0.112,"GO:0005216","MF",2,"ion channel activity",3,"GABRA1,CACNB1,TRPC5,TMEM38A,P2RX6,CACNA1F,SCN1B,GLRB,KCNA1,GABRG2,KCNIP3,GRIA3,KCNK1,SCN2A,TRPC3,MTMR6,KCNH1,SHROOM2,HTR3B,ITPR1,GRIA4,KCNMA1,ORAI2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,GABRG3,CACNB4,KCNB2,KCNQ5,CALHM1,SCN8A,LRRC8B,RYR2,FAM155A"
"196","C4A-negative",1,TRUE,0.00319,272,931,35,0.038,0.129,"GO:0005261","MF",2,"cation channel activity",4,"CACNB1,TRPC5,TMEM38A,P2RX6,CACNA1F,SCN1B,KCNA1,KCNIP3,GRIA3,KCNK1,SCN2A,TRPC3,MTMR6,KCNH1,SHROOM2,HTR3B,ITPR1,GRIA4,KCNMA1,ORAI2,HCN1,KCNV1,KCNC2,KCNAB1,KCNK3,KCND3,SCN4B,KCNA2,CACNB4,KCNB2,KCNQ5,CALHM1,SCN8A,RYR2,FAM155A"
"197","C4A-negative",1,TRUE,0.0409,94,352,14,0.04,0.149,"KEGG:04070","keg",49,"Phosphatidylinositol signaling system",1,"MTMR7,PIK3CB,INPP5A,MTMR4,DGKB,MTMR6,PPIP5K2,ITPR1,PI4K2A,SYNJ1,CDS1,PPIP5K1,SACM1L,PIP4K2B"
"198","C4A-negative",1,TRUE,0.0409,22,352,6,0.017,0.273,"KEGG:04966","keg",34,"Collecting duct acid secretion",1,"ATP6V0A1,ATP6V1D,ATP6V1A,ATP6V1E1,ATP6V1B2,ATP6V1C1"
"199","C4A-negative",1,TRUE,0.0409,106,352,15,0.043,0.142,"KEGG:00190","keg",27,"Oxidative phosphorylation",1,"ATP6V0A1,ATP6V1D,COX7A2,ATP6V1A,COX7A2L,NDUFA8,ATP6V1E1,COX7B,NDUFB5,PPA2,ATP6V1B2,ATP6V1C1,COX5A,NDUFB1,NDUFA4"
"200","C4A-negative",1,TRUE,0.0409,172,352,21,0.06,0.122,"KEGG:04020","keg",15,"Calcium signaling pathway",1,"SPHK2,ATP2B1,P2RX6,CACNA1F,HTR2A,PPP3CB,CCKBR,PDE1A,CHRM3,PPP3CA,PRKACB,HTR2C,ITPR1,ORAI2,DRD5,ADRA1B,CHRM2,DRD1,HRH1,RYR2,PPP3R1"
"201","C4A-negative",1,TRUE,0.0409,152,352,19,0.054,0.125,"KEGG:05010","keg",9,"Alzheimer disease",1,"GSK3B,CACNA1F,PPP3CB,COX7A2,RTN4,COX7A2L,NDUFA8,COX7B,RTN3,NDUFB5,PPP3CA,SNCA,ITPR1,CDK5,CYCS,COX5A,NDUFB1,NDUFA4,PPP3R1"
"202","C4A-negative",1,TRUE,0.0295,129,352,18,0.051,0.14,"KEGG:04120","keg",43,"Ubiquitin mediated proteolysis",1,"UBE3C,CUL1,UBE2K,CUL2,TRIM37,PRPF19,SKP1,UBE3A,UBE2B,TRIM32,UBE2D2,ANAPC1,BTRC,UBE2E3,UBE2N,UBE2F,ANAPC7,SMURF1"
"203","C4A-negative",1,TRUE,0.00554,212,352,28,0.08,0.132,"KEGG:04080","keg",22,"Neuroactive ligand-receptor interaction",1,"PRSS3,GABRA1,SCTR,P2RX6,HTR2A,VIPR2,GLRB,CCKBR,GABRG2,NR3C1,VIPR1,GRM4,GRIA3,MCHR1,MAS1,CHRM3,HTR2C,GRIA4,GRM2,DRD5,ADRA1B,RXFP1,GRM8,SSTR2,CHRM2,GABRG3,DRD1,HRH1"
"204","C4A-negative",1,TRUE,0.0295,107,352,16,0.045,0.15,"KEGG:04724","keg",14,"Glutamatergic synapse",1,"GNB5,SLC1A1,PPP3CB,GLS,GRM4,GRIA3,GLS2,PPP3CA,PRKACB,ITPR1,HOMER1,GRIA4,GRM2,DLGAP1,GRM8,PPP3R1"
"205","C4A-negative",1,TRUE,0.00554,109,352,18,0.051,0.165,"KEGG:04114","keg",52,"Oocyte meiosis",1,"CUL1,PPP2R5C,PPP3CB,CPEB3,SKP1,PPP2CA,CCNB1,PPP3CA,PRKACB,ITPR1,ANAPC1,YWHAZ,BTRC,YWHAB,RPS6KA3,ANAPC7,CPEB1,PPP3R1"
"206","C4A-negative",1,TRUE,0.00554,58,352,13,0.037,0.224,"KEGG:04721","keg",19,"Synaptic vesicle cycle",1,"ATP6V0A1,SYT1,NSF,RIMS1,ATP6V1D,STX1A,ATP6V1A,ATP6V1E1,SNAP25,CLTC,ATP6V1B2,ATP6V1C1,DNM3"
"207","C4A-negative",1,TRUE,0.0361,98,530,15,0.028,0.153,"REAC:R-HSA-168164","rea",37,"Toll Like Receptor 3 (TLR3) Cascade",1,"MAPK9,CUL1,MAP2K4,DUSP3,MAPK10,SKP1,PPP2CA,DUSP4,TRAF3,UBE2D2,DUSP6,BTRC,RPS6KA3,UBE2N,NKIRAS1"
"208","C4A-negative",1,TRUE,0.0369,99,530,15,0.028,0.152,"REAC:R-HSA-166166","rea",37,"MyD88-independent TLR4 cascade ",1,"MAPK9,CUL1,MAP2K4,DUSP3,MAPK10,SKP1,PPP2CA,DUSP4,TRAF3,UBE2D2,DUSP6,BTRC,RPS6KA3,UBE2N,NKIRAS1"
"209","C4A-negative",1,TRUE,0.0369,99,530,15,0.028,0.152,"REAC:R-HSA-937061","rea",37,"TRIF(TICAM1)-mediated TLR4 signaling ",2,"MAPK9,CUL1,MAP2K4,DUSP3,MAPK10,SKP1,PPP2CA,DUSP4,TRAF3,UBE2D2,DUSP6,BTRC,RPS6KA3,UBE2N,NKIRAS1"
"210","C4A-negative",1,TRUE,0.0341,67,530,12,0.023,0.179,"REAC:R-HSA-448424","rea",37,"Interleukin-17 signaling",1,"MAPK9,CUL1,MAP2K4,DUSP3,MAPK10,SKP1,PPP2CA,DUSP4,DUSP6,BTRC,RPS6KA3,UBE2N"
"211","C4A-negative",1,TRUE,0.0256,63,530,12,0.023,0.19,"REAC:R-HSA-450294","rea",37,"MAP kinase activation",2,"MAPK9,CUL1,MAP2K4,DUSP3,MAPK10,SKP1,PPP2CA,DUSP4,DUSP6,BTRC,RPS6KA3,UBE2N"
"212","C4A-negative",1,TRUE,0.0149,93,530,16,0.03,0.172,"REAC:R-HSA-166520","rea",26,"Signaling by NTRKs",1,"PIK3CB,CRKL,DNAL4,DUSP3,PPP2CA,DUSP4,DUSP6,CLTC,ADCYAP1,RALB,SHC3,CDK5,YWHAB,BDNF,RPS6KA3,DNM3"
"213","C4A-negative",1,TRUE,0.021,78,530,14,0.026,0.179,"REAC:R-HSA-187037","rea",26,"Signaling by NTRK1 (TRKA)",2,"PIK3CB,CRKL,DNAL4,DUSP3,PPP2CA,DUSP4,DUSP6,CLTC,ADCYAP1,RALB,SHC3,YWHAB,RPS6KA3,DNM3"
"214","C4A-negative",1,TRUE,0.0047,27,530,9,0.017,0.333,"REAC:R-HSA-5339562","rea",25,"Uptake and actions of bacterial toxins",1,"MAP2K4,SYT1,STX1A,SV2C,SNAP25,VAMP1,SYT2,SV2A,SV2B"
"215","C4A-negative",1,TRUE,7.28e-06,10,530,8,0.015,0.8,"REAC:R-HSA-168799","rea",25,"Neurotoxicity of clostridium toxins",2,"SYT1,STX1A,SV2C,SNAP25,VAMP1,SYT2,SV2A,SV2B"
"216","C4A-negative",1,TRUE,0.021,3,530,3,0.006,1,"REAC:R-HSA-5250992","rea",25,"Toxicity of botulinum toxin type E (BoNT/E)",3,"SNAP25,SV2A,SV2B"
"217","C4A-negative",1,TRUE,0.00946,5,530,4,0.008,0.8,"REAC:R-HSA-5250955","rea",25,"Toxicity of botulinum toxin type D (BoNT/D)",3,"SV2C,VAMP1,SV2A,SV2B"
"218","C4A-negative",1,TRUE,0.00464,4,530,4,0.008,1,"REAC:R-HSA-5250968","rea",25,"Toxicity of botulinum toxin type A (BoNT/A)",3,"SV2C,SNAP25,SV2A,SV2B"
"219","C4A-negative",1,TRUE,0.00946,5,530,4,0.008,0.8,"REAC:R-HSA-5250981","rea",25,"Toxicity of botulinum toxin type F (BoNT/F)",3,"SV2C,VAMP1,SV2A,SV2B"
"220","C4A-negative",1,TRUE,0.0318,40,530,9,0.017,0.225,"REAC:R-HSA-1296072","rea",21,"Voltage gated Potassium channels",1,"KCNA1,KCNH1,KCNV1,KCNC2,KCNAB1,KCND3,KCNA2,KCNB2,KCNQ5"
"221","C4A-negative",1,TRUE,2.25e-05,335,530,47,0.089,0.14,"REAC:R-HSA-112316","rea",7,"Neuronal System",1,"GABRA1,APBA2,CACNB1,SYT1,GNB5,NSF,RIMS1,EPB41L3,DNAJC5,STX1A,SLC1A1,GLRB,PPFIBP1,KCNA1,GABRG2,GLS,GRIA3,ARHGEF9,SNAP25,RTN3,GLS2,KCNK1,GAD2,PRKACB,KCNH1,SYT2,HTR3B,HOMER1,GRIA4,KCNMA1,SYN2,HCN1,KCNV1,KCNC2,KCNAB1,DLGAP1,KCNK3,KCND3,SYT12,RPS6KA3,KCNA2,AKAP5,GABRG3,CACNB4,KCNB2,KCNQ5,IL1RAPL2"
"222","C4A-negative",1,TRUE,0.0279,200,530,25,0.047,0.125,"REAC:R-HSA-112315","rea",7,"Transmission across Chemical Synapses",2,"GABRA1,CACNB1,SYT1,GNB5,NSF,RIMS1,DNAJC5,STX1A,SLC1A1,GLRB,GABRG2,GLS,GRIA3,ARHGEF9,SNAP25,GLS2,GAD2,PRKACB,HTR3B,GRIA4,SYN2,RPS6KA3,AKAP5,GABRG3,CACNB4"
"223","C4A-negative",1,TRUE,0.0256,46,530,10,0.019,0.217,"REAC:R-HSA-112310","rea",7,"Neurotransmitter release cycle",3,"SYT1,RIMS1,DNAJC5,STX1A,SLC1A1,GLS,SNAP25,GLS2,GAD2,SYN2"
"224","C4A-negative",1,TRUE,0.0341,19,530,6,0.011,0.316,"REAC:R-HSA-888590","rea",7,"GABA synthesis, release, reuptake and degradation",4,"SYT1,RIMS1,DNAJC5,STX1A,SNAP25,GAD2"
"225","C4A-negative",1,TRUE,0.0256,23,530,7,0.013,0.304,"REAC:R-HSA-210500","rea",7,"Glutamate Neurotransmitter Release Cycle",4,"SYT1,RIMS1,STX1A,SLC1A1,GLS,SNAP25,GLS2"
"226","C4A-negative",1,TRUE,0.0341,33,530,8,0.015,0.242,"REAC:R-HSA-375280","rea",39,"Amine ligand-binding receptors",1,"HTR2A,CHRM3,HTR2C,DRD5,ADRA1B,CHRM2,DRD1,HRH1"
"227","C4A-negative",1,TRUE,0.00946,659,530,65,0.123,0.099,"REAC:R-HSA-1280218","rea",17,"Adaptive Immune System",1,"UBE3C,PIK3CB,CUL1,SEC61A2,LNX1,PVR,KIFAP3,PAK3,UBE2K,PPP2R5C,HACE1,ASB2,SEC23A,PPP3CB,CUL2,TRIM37,CRTAM,FBXO9,SKP1,PPP2CA,UBE3A,ACTR1B,UBE3D,PPL,UBE2B,TRIM32,PSMB2,KIF3A,UBE2D2,ACTR1A,PPP3CA,CLTC,PRKACB,PSMA5,DYNC1LI1,KLHL3,SH3KBP1,PAK1,ITPR1,TRIM36,ANAPC1,CD8A,UBR1,ORAI2,FBXO27,YWHAZ,BTRC,DCTN5,YWHAB,UBE2E3,GLMN,DCTN2,UBE2N,ASB8,RNF41,UBE2F,BTBD6,NCR3LG1,ANAPC7,PSMD12,ATG7,DNM3,SMURF1,PJA2,PPP3R1"
"228","C4A-negative",1,TRUE,0.0341,352,530,37,0.07,0.105,"REAC:R-HSA-983169","rea",17,"Class I MHC mediated antigen processing & presentation",2,"UBE3C,CUL1,SEC61A2,LNX1,UBE2K,HACE1,ASB2,SEC23A,CUL2,TRIM37,FBXO9,SKP1,UBE3A,UBE3D,UBE2B,TRIM32,PSMB2,UBE2D2,PSMA5,KLHL3,TRIM36,ANAPC1,UBR1,FBXO27,BTRC,UBE2E3,GLMN,UBE2N,ASB8,RNF41,UBE2F,BTBD6,ANAPC7,PSMD12,ATG7,SMURF1,PJA2"
"229","C4A-negative",1,TRUE,0.0107,293,530,35,0.066,0.119,"REAC:R-HSA-983168","rea",17,"Antigen processing: Ubiquitination & Proteasome degradation",3,"UBE3C,CUL1,LNX1,UBE2K,HACE1,ASB2,CUL2,TRIM37,FBXO9,SKP1,UBE3A,UBE3D,UBE2B,TRIM32,PSMB2,UBE2D2,PSMA5,KLHL3,TRIM36,ANAPC1,UBR1,FBXO27,BTRC,UBE2E3,GLMN,UBE2N,ASB8,RNF41,UBE2F,BTBD6,ANAPC7,PSMD12,ATG7,SMURF1,PJA2"
"230","C4A-negative",1,TRUE,0.0477,123,530,17,0.032,0.138,"REAC:R-HSA-5621481","rea",40,"C-type lectin receptors (CLRs)",1,"CUL1,PAK3,PPP3CB,SKP1,PSMB2,UBE2D2,PPP3CA,PRKACB,PSMA5,PAK1,ITPR1,BTRC,MUC15,UBE2N,PSMD12,MUC12,PPP3R1"
"231","C4A-negative",1,TRUE,0.0265,55,530,11,0.021,0.2,"REAC:R-HSA-917937","rea",33,"Iron uptake and transport",1,"ATP6V0A1,CUL1,ATP6V1D,HMOX2,GLRX3,CAND1,SKP1,ATP6V1A,ATP6V1E1,ATP6V1B2,ATP6V1C1"
"232","C4A-positive",1,TRUE,0.0431,21,1681,7,0.004,0.333,"GO:0062009","BP",59,"secondary palate development",1,"MMP25,TGFBR3,TGFB2,TGFB3,TGFBR2,CHD7,FZD2"
"233","C4A-positive",1,TRUE,0.0271,19,1681,7,0.004,0.368,"GO:0097242","BP",244,"amyloid-beta clearance",1,"MSR1,ROCK1,CLU,C3,APOE,ITGB2,ITGAM"
"234","C4A-positive",1,TRUE,0.0119,99,1681,22,0.013,0.222,"GO:0003014","BP",43,"renal system process",1,"CYBA,KCNQ1,COMT,PCSK5,SLC9A3R1,WFS1,GNAI2,AGT,EDNRB,GSN,ADM,GJA1,ADCY8,STC1,HAS2,AQP4,CYP4F12,SLC4A5,AKR1C3,SLC22A6,EMP2,AQP1"
"235","C4A-positive",1,TRUE,0.0179,6,1681,4,0.002,0.667,"GO:0046087","BP",102,"cytidine metabolic process",1,"APOBEC3A,APOBEC3F,APOBEC3G,APOBEC3C"
"236","C4A-positive",1,TRUE,0.0179,6,1681,4,0.002,0.667,"GO:0006216","BP",102,"cytidine catabolic process",2,"APOBEC3A,APOBEC3F,APOBEC3G,APOBEC3C"
"237","C4A-positive",1,TRUE,0.0179,6,1681,4,0.002,0.667,"GO:0009972","BP",102,"cytidine deamination",3,"APOBEC3A,APOBEC3F,APOBEC3G,APOBEC3C"
"238","C4A-positive",1,TRUE,0.00175,42,1681,14,0.008,0.333,"GO:0070265","BP",166,"necrotic cell death",1,"CFLAR,YBX3,CASP8,TSPO,PYGL,PPIF,RIPK3,RIPK1,CASP1,TMEM123,TLR3,MLKL,CD14,MAP3K5"
"239","C4A-positive",1,TRUE,0.00268,34,1681,12,0.007,0.353,"GO:0097300","BP",166,"programmed necrotic cell death",2,"CFLAR,YBX3,CASP8,PYGL,PPIF,RIPK3,RIPK1,CASP1,TLR3,MLKL,CD14,MAP3K5"
"240","C4A-positive",1,TRUE,0.00678,28,1681,10,0.006,0.357,"GO:0070266","BP",166,"necroptotic process",3,"CFLAR,YBX3,CASP8,PYGL,PPIF,RIPK3,RIPK1,TLR3,MLKL,CD14"
"241","C4A-positive",1,TRUE,0.0431,21,1681,7,0.004,0.333,"GO:0010939","BP",166,"regulation of necrotic cell death",1,"CFLAR,YBX3,CASP8,TSPO,PPIF,RIPK3,RIPK1"
"242","C4A-positive",1,TRUE,0.0376,4,1681,3,0.002,0.75,"GO:0006003","BP",44,"fructose 2,6-bisphosphate metabolic process",1,"PFKFB4,PFKFB2,PFKFB3"
"243","C4A-positive",1,TRUE,0.0144,9,1681,5,0.003,0.556,"GO:0010911","BP",226,"regulation of isomerase activity",1,"ITGB2,NOD2,ITGAM,PLSCR1,UHRF1"
"244","C4A-positive",1,TRUE,0.0138,3,1681,3,0.002,1,"GO:2000361","BP",226,"regulation of prostaglandin-E synthase activity",2,"ITGB2,NOD2,ITGAM"
"245","C4A-positive",1,TRUE,0.0144,9,1681,5,0.003,0.556,"GO:0010912","BP",226,"positive regulation of isomerase activity",2,"ITGB2,NOD2,ITGAM,PLSCR1,UHRF1"
"246","C4A-positive",1,TRUE,0.0138,3,1681,3,0.002,1,"GO:2000363","BP",226,"positive regulation of prostaglandin-E synthase activity",3,"ITGB2,NOD2,ITGAM"
"247","C4A-positive",1,TRUE,0.0328,7,1681,4,0.002,0.571,"GO:0003223","BP",122,"ventricular compact myocardium morphogenesis",1,"TGFBR3,TGFBR1,BMPR1A,CHD7"
"248","C4A-positive",1,TRUE,0.0329,109,1681,22,0.013,0.202,"GO:0006766","BP",229,"vitamin metabolic process",1,"TKTL1,ACPP,PLTP,SLC52A3,VNN2,KYNU,RPE65,SLC2A1,ABCD4,IL1B,MCCC2,PSAT1,TTPA,RLBP1,ALDH1L1,CBR1,FOLR2,CYP4F11,SHMT1,TCN2,CYP4F12,AKR1C3"
"249","C4A-positive",1,TRUE,0.00729,101,1681,23,0.014,0.228,"GO:0072089","BP",257,"stem cell proliferation",1,"PAX6,TEAD3,FGFR2,FBLN1,PTPRC,HIF1A,TGFB1,RNF43,NR2E1,DOCK7,SMO,YAP1,FGF2,SFRP2,NOTCH1,RUNX1,DISC1,SOX17,CX3CR1,ID4,ZNRF3,ZFP36L1,PLXNB2"
"250","C4A-positive",1,TRUE,0.0403,54,1681,13,0.008,0.241,"GO:0072091","BP",257,"regulation of stem cell proliferation",2,"PAX6,FBLN1,PTPRC,HIF1A,TGFB1,NR2E1,SMO,YAP1,NOTCH1,DISC1,SOX17,CX3CR1,ZFP36L1"
"251","C4A-positive",1,TRUE,0.0329,109,1681,22,0.013,0.202,"GO:0035296","BP",152,"regulation of tube diameter",1,"CD38,ATP1A2,TBXAS1,ICAM1,HMOX1,ECE1,BBS2,APOE,AGT,EDNRB,KCNMB1,ADM,GJA1,NOS3,ADRB2,PTAFR,P2RY1,ADORA2B,APLN,P2RY2,OXTR,PRKG1"
"252","C4A-positive",1,TRUE,0.0329,109,1681,22,0.013,0.202,"GO:0097746","BP",152,"regulation of blood vessel diameter",1,"CD38,ATP1A2,TBXAS1,ICAM1,HMOX1,ECE1,BBS2,APOE,AGT,EDNRB,KCNMB1,ADM,GJA1,NOS3,ADRB2,PTAFR,P2RY1,ADORA2B,APLN,P2RY2,OXTR,PRKG1"
"253","C4A-positive",1,TRUE,0.00648,48,1681,14,0.008,0.292,"GO:0097755","BP",152,"positive regulation of blood vessel diameter",2,"HMOX1,BBS2,APOE,AGT,EDNRB,KCNMB1,ADM,GJA1,NOS3,ADRB2,PTAFR,ADORA2B,APLN,PRKG1"
"254","C4A-positive",1,TRUE,0.0284,24,1681,8,0.005,0.333,"GO:0042311","BP",152,"vasodilation",3,"BBS2,APOE,AGT,EDNRB,NOS3,ADRB2,ADORA2B,PRKG1"
"255","C4A-positive",1,TRUE,0.0376,4,1681,3,0.002,0.75,"GO:0045341","BP",65,"MHC class I biosynthetic process",1,"PML,NLRC5,CIITA"
"256","C4A-positive",1,TRUE,0.0376,4,1681,3,0.002,0.75,"GO:0045343","BP",65,"regulation of MHC class I biosynthetic process",2,"PML,NLRC5,CIITA"
"257","C4A-positive",1,TRUE,0.0376,4,1681,3,0.002,0.75,"GO:0045345","BP",65,"positive regulation of MHC class I biosynthetic process",2,"PML,NLRC5,CIITA"
"258","C4A-positive",1,TRUE,0.0376,4,1681,3,0.002,0.75,"GO:0021943","BP",137,"formation of radial glial scaffolds",1,"ITGB1,ARL13B,FLNA"
"259","C4A-positive",1,TRUE,0.00149,636,1681,102,0.061,0.16,"GO:0030029","BP",53,"actin filament-based process",1,"CFLAR,SCIN,WAS,ATP1A2,VIM,CAPG,GPM6B,ARHGAP6,ELN,KCNQ1,CNN2,ROCK1,TESK2,WDR1,ITGB5,FAT1,ASAP3,PXN,ICAM1,EZR,TRIOBP,MYH9,HCK,PYCARD,IKBKB,ARHGEF10,TGFB1,TGFBR1,KANK1,PFN1,SLC9A3R1,ARHGDIB,DPYSL3,BCL6,PLEK,RHOU,CNN3,TGFB3,KCNJ5,NCKAP1L,PREX1,SDC4,TRIP10,VASP,FGD3,RAC2,PALLD,GDPD2,BST2,ARPC1B,GMFG,PDLIM4,PPFIA1,SWAP70,DOCK2,DSC2,LCP1,TLN1,PARVG,FGD4,GPR65,RAB13,FGD2,GSN,ITGB1,EPS8,GJA1,RHOC,WASF2,F11R,STC1,MYL3,PDPN,VANGL2,S100A9,LMOD1,NUAK2,INPPL1,ANTXR1,S1PR1,CORO1B,SH3PXD2B,DES,KCNE3,CALR,CDC42EP4,HCLS1,PAK2,CSF1R,PRKG1,MYBPC1,PTPN1,MYO6,FLNA,S100A10,CD2AP,MSRB1,AIF1,EMP2,ANG,AQP1,CYFIP1"
"260","C4A-positive",1,TRUE,0.0018,550,1681,90,0.054,0.164,"GO:0030036","BP",53,"actin cytoskeleton organization",2,"CFLAR,SCIN,WAS,CAPG,GPM6B,ARHGAP6,ELN,CNN2,ROCK1,TESK2,WDR1,ITGB5,FAT1,ASAP3,PXN,ICAM1,EZR,TRIOBP,MYH9,HCK,PYCARD,IKBKB,ARHGEF10,TGFB1,TGFBR1,KANK1,PFN1,SLC9A3R1,ARHGDIB,DPYSL3,BCL6,PLEK,RHOU,CNN3,TGFB3,NCKAP1L,PREX1,SDC4,TRIP10,VASP,FGD3,RAC2,PALLD,GDPD2,BST2,ARPC1B,GMFG,PDLIM4,PPFIA1,SWAP70,DOCK2,LCP1,TLN1,PARVG,FGD4,GPR65,RAB13,FGD2,GSN,ITGB1,EPS8,RHOC,WASF2,F11R,VANGL2,S100A9,LMOD1,NUAK2,INPPL1,ANTXR1,S1PR1,CORO1B,SH3PXD2B,CALR,CDC42EP4,HCLS1,PAK2,CSF1R,PRKG1,MYBPC1,PTPN1,FLNA,S100A10,CD2AP,MSRB1,AIF1,EMP2,ANG,AQP1,CYFIP1"
"261","C4A-positive",1,TRUE,0.00248,87,1681,22,0.013,0.253,"GO:0031532","BP",53,"actin cytoskeleton reorganization",3,"EZR,MYH9,HCK,TGFB1,ARHGDIB,PLEK,GDPD2,GMFG,PDLIM4,PARVG,GPR65,GSN,EPS8,F11R,S100A9,ANTXR1,S1PR1,HCLS1,CSF1R,PTPN1,FLNA,CD2AP"
